Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged
"Kobabe, Maia",Gender Queer,Adams 12 Five Star Schools,Colorado,n/a,,Informal Challenge,,During public comment - board meeting,,,,,,,
"Evison, JOnathan ",Lawn Boy,Adams 12 Five Star Schools,Colorado,n/a,,Informal Challenge,,During public comment - board meeting,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Anchorage School District,Alaska,yes,,No Challenge Filed,Banned,Removed by Superintendent,,,,,,,
"Johnson, George M",All Boys Aren't blue,Ankeny Community School District,Iowa,not applicable,https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/,Formal Challenge Filed,Retained,The Books Des Moines Suburbs Want to Ban In Schools,,,,,,,
"Kobabe, Maia",Gender Queer: A Memoir,Ankeny Community School District,Iowa,yes,https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/,Formal Challenge Filed,Banned,,,,,,,,
"Andrews, Jesse","Me, Earl and the Dying GIrl",Ankeny Community School District,Iowa,yes,8-12 GR,Formal Challenge Filed,Restricted Permanently,The Books Des Moines Suburbs Want to Ban In Schools,https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/,,,,,,
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Ankeny Community School District,Iowa,yes,7-12 GR,Formal Challenge Filed,Restricted Permanently,The Books Des Moines Suburbs Want to Ban In Schools,https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/,,,,,,
"Johnson, George M",All Boy's Aren't Blue,Auburn Enlarged City School District,New York,not applicable,committee send recommendation to board - unclear response. also - recommending that the board review the collections policies.,Formal Challenge Filed,Challenged - Prob. on shelves,Challenged during board meeting; update 1/22 - formal challenge filed,,,,,,,
"Reynolds, Jason and Brenden Kiely",All American Boys,Baldwinsville Central School District,New York,not applicable,,Formal Challenge Filed,Challenged - Prob. on shelves,challenged in board meeting,,,,,,,January 2022
"Johnson, George M",All Boys Aren't blue,Baldwinsville Central School District,New York,not applicable,,Formal Challenge Filed,Challenged - Prob. on shelves,challenged in board meeting,,,,,,,
