level_0,old_index,State,District,Origin of Challenge,Date of Challenge/Removal,Type of Ban,Author,Title,Secondary Author(s),Illustrator(s),Translator(s),description,publishedDate,categories,cluster,pca1,pca2,pca3
0,0,Alaska,Anchorage School District,Administrator,October 2021,Banned from Libraries and Classrooms,"Kobabe, Maia",Gender Queer: A Memoir,,,,"2020 ALA Alex Award Winner 2020 Stonewall — Israel Fishman Non-fiction Award Honor Book In 2014, Maia Kobabe, who uses e/em/eir pronouns, thought that a comic of reading statistics would be the last autobiographical comic e would ever write. At the time, it was the only thing e felt comfortable with strangers knowing about em. Now, Gender Queer is here. Maia’s intensely cathartic autobiography charts eir journey of self-identity, which includes the mortification and confusion of adolescent crushes, grappling with how to come out to family and society, bonding with friends over erotic gay fanfiction, and facing the trauma and fundamental violation of pap smears. Started as a way to explain to eir family what it means to be nonbinary and asexual, Gender Queer is more than a personal story: it is a useful and touching guide on gender identity—what it means and how to think about it—for advocates, friends, and humans everywhere. This special deluxe hardcover edition of Gender Queer features a brand-new cover, exclusive art and sketches, and a TK from creator Maia Kobabe.",2022-05-31,comics & graphic novels,1,0.6052212,-0.7048727,1.3860921
1,1,Arkansas,Siloam Springs School District,Formal Challenge,January 2022,Banned from Libraries and Classrooms,"Kuklin, Susan",Beyond Magenta: Transgender Teens Speak Out,,,,"Shares insights into the teen transgender experience, tracing six individual's emotional and physical journey as it was shaped by family dynamics, living situations, and the transition each teen made during the personal journey.",2014,juvenile nonfiction,4,6.194058,6.229667,2.0917735
2,2,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Andrews, Jesse",The Haters,,,,"The book that inspired the hit film! Sundance U.S. Dramatic Audience Award Sundance Grand Jury Prize This is the funniest book you’ll ever read about death. It is a universally acknowledged truth that high school sucks. But on the first day of his senior year, Greg Gaines thinks he’s figured it out. The answer to the basic existential question: How is it possible to exist in a place that sucks so bad? His strategy: remain at the periphery at all times. Keep an insanely low profile. Make mediocre films with the one person who is even sort of his friend, Earl. This plan works for exactly eight hours. Then Greg’s mom forces him to become friends with a girl who has cancer. This brings about the destruction of Greg’s entire life. Fiercely funny, honest, heart-breaking—this is an unforgettable novel from a bright talent, now also a film that critics are calling ""a touchstone for its generation"" and ""an instant classic."" Includes a discussion with Jesse Andrews and an annotated excerpt from the screenplay! STARRED REVIEW “One need only look at the chapter titles (“Let’s Just Get This Embarrassing Chapter Out of the Way”) to know that this is one funny book.” –Booklist, starred review STARRED REVIEW “Though this novel begs inevitable thematic comparisons to John Green's The Fault in Our Stars (2011), it stands on its own in inventiveness, humor and heart.” –Kirkus Reviews, starred review New York Times bestseller! Capitol Choices 2013 - Noteworthy Titles for Children and Teens Cooperative Children’s Book Center (CCBC) Choices 2013 list - Young Adult Fiction YALSA 2013 Quick Picks for Reluctant Young Adult Readers YALSA 2013 Best Fiction for Young Adults YALSA 2014 Popular Paperbacks for Young Adults",2015-05-26,juvenile fiction,3,-2.3987691,-3.3882277,2.9723382
3,3,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",Damsel,,,,"*A 2019 Michael L. Printz Award Honor Book* A dark, twisted, unforgettable fairy tale from Elana K. Arnold, author of the National Book Award finalist What Girls Are Made Of The rite has existed for as long as anyone can remember: When the king dies, his son the prince must venture out into the gray lands, slay a fierce dragon, and rescue a damsel to be his bride. This is the way things have always been. When Ama wakes in the arms of Prince Emory, she knows none of this. She has no memory of what came before she was captured by the dragon or what horrors she faced in its lair. She knows only this handsome young man, the story he tells of her rescue, and her destiny of sitting on a throne beside him. It’s all like a dream, like something from a fairy tale. As Ama follows Emory to the kingdom of Harding, however, she discovers that not all is as it seems. There is more to the legends of the dragons and the damsels than anyone knows, and the greatest threats may not be behind her, but around her, now, and closing in.",2018-10-02,young adult fiction,2,-2.4003828,-1.072829,1.6538552
4,4,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",Infandous,,,,"Sephora Golding lives in the shadow of her beautiful mother. They scrape by in Venice Beach, but Sephora has always felt lucky. Then she meets Felix, and the fairy tale takes an unimaginable turn.",2015-03-01,juvenile fiction,10,-2.594153,-0.31994566,-2.6124902
5,5,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",Red Hood,,,,"A dark, engrossing, blood-drenched tale of the familiar threats to female power—and one girl’s journey to regain it. Five starred reviews greeted this powerful story from Elana K. Arnold, author of the Printz Honor winner Damsel. You are alone in the woods, seen only by the unblinking yellow moon. Your hands are empty. You are nearly naked. And the wolf is angry. Since her grandmother became her caretaker when she was four years old, Bisou Martel has lived a quiet life in a little house in Seattle. She’s kept mostly to herself. She’s been good. But then comes the night of homecoming, when she finds herself running for her life over roots and between trees, a fury of claws and teeth behind her. A wolf attacks. Bisou fights back. A new moon rises. And with it, questions. About the blood in Bisou’s past, and on her hands as she stumbles home. About broken boys and vicious wolves. About girls lost in the woods—frightened, but not alone.",2020-02-25,young adult fiction,2,-1.8079733,0.5066222,-1.4014555
6,6,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Arnold, Elana K.",What Girls Are Made Of,,,,"A 2017 National Book Award for Young People's Literature Finalist When Nina Faye was fourteen, her mother told her there was no such thing as unconditional love. Nina believed her. Now she'll do anything for the boy she loves, to prove she's worthy of him. But when he breaks up with her, Nina is lost. What is she if not a girlfriend? What is she made of? Broken-hearted, Nina tries to figure out what the conditions of love are. ""Finally, finally, a book that is fully girl, with all of the gore and grace of growing up female exposed."" —Carrie Mesrobian, author of the William C. Morris finalist, Sex & Violence",2017-04-01,young adult fiction,6,-3.338401,1.6433024,-0.16328299
7,7,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Blume, Judy",Forever...,,,,Two high school seniors believe their love to be so strong that it will last forever.,2014-04-29,juvenile fiction,9,-1.2843795,-1.3928918,-2.9415805
8,8,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Dawson, Juno",This Book Is Gay,,,,"The bestselling young adult non-fiction book on sexuality and gender! Lesbian. Gay. Bisexual. Transgender. Queer. Intersex. Straight. Curious. This book is for everyone, regardless of gender or sexual preference. This book is for anyone who's ever dared to wonder. This book is for YOU. This candid, funny, and uncensored exploration of sexuality and what it's like to grow up LGBTQ also includes real stories from people across the gender and sexual spectrums, not to mention hilarious illustrations. Inside this revised and updated edition, you'll find the answers to all the questions you ever wanted to ask, with topics like: Stereotypes—the facts and fiction Coming out as LGBT Where to meet people like you The ins and outs of gay sex How to flirt And so much more! You will be entertained. You will be informed. But most importantly, you will know that however you identify (or don't) and whomever you love, you are exceptional. You matter. And so does this book. This book is for: LGBTQIA+ teens, tweens, and adults Readers looking to learn more about the LGBTQIA+ community Parents of gay kids and other LGBT youth Educators looking for advice about the LGBTQIA+ community Praise for This Book is Gay: A Guardian Best Book of the Year 2018 Garden State Teen Book Award Winner ""The book every LGBT person would have killed for as a teenager, told in the voice of a wise best friend. Frank, warm, funny, USEFUL.""—Patrick Ness, New York Times bestselling author ""This egregious gap has now been filled to a fare-thee-well by Dawson's book.""—Booklist *STARRED REVIEW*",2021-09-07,young adult nonfiction,5,4.192181,-1.8430134,0.87231815
9,9,Florida,Brevard County Public Schools,Administrator,March 2022,Banned Pending Investigation,"Hopkins, Ellen",Crank (Crank Series),,,,"Kristina Snow is the perfect daughter, but she meets a boy who introduces her to drugs and becomes a very different person, struggling to control her life and her mind.",2013-08-06,juvenile fiction,6,-2.4854686,3.7676704,3.1902556
