"","Book"
"1","Ace of Spades"
"2","Clap When You Land"
"3","The Poet X"
"4","Call Me By Your Name (Call Me By Your Name Series)"
"5","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)"
"6","47,000 Beads"
"7","Half of a Yellow Sun"
"8","The Accidental Adventures of India McAllister"
"9","How It All Blew Up"
"10","Mae Among the Stars"
"11","Being the Change: Lessons and Strategies to Teach Social Comprehension"
"12","Love, Creekwood: A Simonverse Novella (Simonverse Series)"
"13","Simon vs. the Homo Sapiens Agenda (Simonverse Series)"
"14","The Upside of Unrequited (Simonverse Series)"
"15","What If It's Us (What If It's Us Series)"
"16","The Undefeated"
"17","The New Jim Crow: Mass Incarceration in the Age of Colorblindness"
"18","The Absolutely True Diary of a Part-Time Indian"
"19","Girls Like Us (2019)"
"20","The Case for Loving: The Fight for Interracial Marriage"
"21","The House of the Spirits"
"22","Hear These Voices: Youth at the Edge of the Millennium"
"23","A is for Audra: Broadway's Leading Ladies from A to Z"
"24","Bioethics: Who Lives, Who Dies, And Who Decides?"
"25","We Are All Born Free: The Universal Declaration of Human Rights in Pictures"
"26","Bless Me, Ultima"
"27","White Rage: The Unspoken Truth of Our Racial Divide"
"28","Shout"
"29","Speak"
"30","Feed"
"31","Some Assembly Required: The Not-So-Secret Life of a Transgender Teen"
"32","Me and Earl and the Dying Girl"
"33","The Haters"
"34","The 5 O'Clock Band"
"35","Trombone Shorty"
"36","I Know Why The Caged Bird Sings"
"37","Modern Romance: An Investigation"
"38","LGBTQ Families: The Ultimate Teen Guide"
"39","Wishtree"
"40","Meet Cute: Some People Are Destined to Meet"
"41","A Boy Called Bat (A Boy Called Bat Series)"
"42","Bat and the End of Everything (A Boy Called Bat Series)"
"43","Bat and the Waiting Game (A Boy Called Bat Series)"
"44","Damsel"
"45","Infandous"
"46","Red Hood"
"47","What Girls Are Made Of"
"48","A Girl on the Shore"
"49","Thirteen Reasons Why"
"50","Anna Hibiscus (Anna Hibiscus Series)"
"51","The Black Flamingo"
"52","The Handmaid's Tale"
"53","The Handmaid's Tale The Graphic Novel"
"54","The Testaments"
"55","Raise the Stakes"
"56","Sex, Puberty, and All That Stuff: A Guide to Growing Up"
"57","Morris Micklewhite and the Tangerine Dress"
"58","Blindspot: Hidden Biases of Good People"
"59","One Man Guy"
"60","Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain"
"61","Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)"
"62","Crown: An Ode to the Fresh Cut"
"63","I Am Every Good Thing"
"64","Ruby Flips For Attention (Ruby and the Booker Boys Series)"
"65","Slumber Party Payback (Ruby and the Booker Boys Series)"
"66","Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)"
"67","No Mirrors in My Nana's House: Musical CD and Book"
"68","Peter Pan"
"69","They Called Themselves The K.K.K.: The Birth of an American Terrorist Group"
"70","Wonders of the Invisible World"
"71","Cinderella Is Dead"
"72","Sofia Valdez, Future Prez (Questioneers Picture Books Series)"
"73","Knock Knock: My Dad's Dream for Me"
"74","Fun Home: A Family Tragicomic"
"75","Counting on Katherine: How Katherine Johnson Saved Apollo 13"
"76","Dating, Relationships, And Sexuality: What Teens Should Know"
"77","Lucky Broken Girl"
"78","Queer: The Ultimate LGBTQ Guide for Teens"
"79","Faces at the Bottom of the Well: The Permanence of Racism"
"80","Alan Cole Is Not a Coward"
"81","Death Wind"
"82","La tormenta"
"83","Great"
"84","Not Norman: A Goldfish Story"
"85","Things That Make White People Uncomfortable (Adapted for Young Adults)"
"86","Far from the Tree"
"87","Kaleidoscope Song"
"88","Trans Mission: My Quest to a Beard"
"89","The Sin-Eater's Confession"
"90","Marvelous Cornelius: Hurricane Katrina and the Spirit of New Orleans"
"91","Playing the Field"
"92","Sorted: Growing Up, Coming Out, and Finding My Place"
"93","My Invented Life"
"94","The Baby Tree"
"95","Boy2Girl"
"96","Girl Made of Stars"
"97","Ivy Aberdeen's Letter to the World"
"98","La carta de Ivy Aberdeen al mundo/Ivy Aberdeen's Letter to the World"
"99","The Mighty Heart of Sunny St. James"
"100","Bowery Girl"
"101","Someone I Used to Know"
"102","Forever..."
"103","Then Again, Maybe I Won't"
"104","Jane Against the World: Roe v. Wade and the Fight for Reproductive Rights"
"105","A Bike Like Sergio's"
"106","Those Shoes"
"107","Changing the Equation: 50+ US Black Women in STEM"
"108","Will"
"109","Ziggy, Stardust and Me"
"110","Daddy, There's A Noise Outside"
"111","Protest Movements: Then and Now"
"112","Into the Real"
"113","This Is Your Time"
"114","Black Rabbit Summer"
"115","Imani's Moon"
"116","Who Is Malala Yousafzai? (Who was...? Series)"
"117","Black Girl Unlimited: The Remarkable Story of a Teenage Wizard"
"118","The Meaning of Birds"
"119","Lola Levine and the Ballet Scheme (Lola Levine Series)"
"120","Lola Levine and the Halloween Scream (Lola Levine Series)"
"121","Lola Levine and the Vacation Dream (Lola Levine Series)"
"122","Lola Levine Is Not Mean! (Lola Levine Series)"
"123","Lola Levine Meets Jelly and Bean (Lola Levine Series)"
"124","Lola Levine: Drama Queen (Lola Levine Series)"
"125","Marisol McDonald Doesn't Match (Marisol McDonald Series)"
"126","My Name Is Celia: The Life Of Celia Cruz / Me Llamo Celia: La Vida de Celia Cruz"
"127","Pele, King of Soccer/Pele, El rey del futbol: Bilingual Spanish-English"
"128","Tito Puente, Mambo King/Tito Puente, Rey del Mambo"
"129","The Truth about Keeping Secrets"
"130","Around Our Way on Neighbors' Day"
"131","Squanto's Journey: The Story of the First Thanksgiving"
"132","Alex As Well"
"133","A Splash of Red: The Life and Art of Horace Pippin"
"134","101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More"
"135","101 Questions About Sex and Sexuality: With Answers for the Curious, Cautious, and Confused"
"136","Who Are Venus and Serena Williams? (Who was...? Series)"
