"","Author","Title","Date","Quarter","time_frame"
"1","Àbíké-Íyímídé, Faridah","Ace of Spades","November","Fall","2021-07-01 2022-03-31"
"2","Acevedo, Elizabeth","Clap When You Land","September","Summer","2021-04-01 2021-12-31"
"3","Acevedo, Elizabeth","The Poet X","November","Fall","2021-07-01 2022-03-31"
"4","Acevedo, Elizabeth","The Poet X","February","Winter","2021-10-01 2022-06-30"
"5","Acevedo, Elizabeth","The Poet X","March","Winter","2021-10-01 2022-06-30"
"6","Acevedo, Elizabeth","The Poet X","October","Fall","2021-07-01 2022-03-31"
"7","Aciman, André","Call Me By Your Name (Call Me By Your Name Series)","November","Fall","2021-07-01 2022-03-31"
"8","Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)","November","Fall","2021-07-01 2022-03-31"
"9","Adeyoha, Koja","47,000 Beads","September","Summer","2021-04-01 2021-12-31"
"10","Adichie, Chimamanda Ngozi","Half of a Yellow Sun","January","Winter","2021-10-01 2022-06-30"
"11","Agell, Charlotte","The Accidental Adventures of India McAllister","December","Fall","2021-07-01 2022-03-31"
"12","Ahmadi, Arvin","How It All Blew Up","December","Fall","2021-07-01 2022-03-31"
"13","Ahmed, Roda","Mae Among the Stars","September","Summer","2021-04-01 2021-12-31"
"14","Ahmed, Sara K.","Being the Change: Lessons and Strategies to Teach Social Comprehension","September","Summer","2021-04-01 2021-12-31"
"15","Ahmed, Sara K.","Being the Change: Lessons and Strategies to Teach Social Comprehension","December","Fall","2021-07-01 2022-03-31"
"16","Albertalli, Becky","Love, Creekwood: A Simonverse Novella (Simonverse Series)","December","Fall","2021-07-01 2022-03-31"
"17","Albertalli, Becky","Simon vs. the Homo Sapiens Agenda (Simonverse Series)","January","Winter","2021-10-01 2022-06-30"
"18","Albertalli, Becky","Simon vs. the Homo Sapiens Agenda (Simonverse Series)","December","Fall","2021-07-01 2022-03-31"
"19","Albertalli, Becky","The Upside of Unrequited (Simonverse Series)","January","Winter","2021-10-01 2022-06-30"
"20","Albertalli, Becky","The Upside of Unrequited (Simonverse Series)","December","Fall","2021-07-01 2022-03-31"
"21","Albertalli, Becky","What If It's Us (What If It's Us Series)","January","Winter","2021-10-01 2022-06-30"
"22","Albertalli, Becky","What If It's Us (What If It's Us Series)","December","Fall","2021-07-01 2022-03-31"
"23","Alexander, Kwame","The Undefeated","September","Summer","2021-04-01 2021-12-31"
"24","Alexander, Michelle","The New Jim Crow: Mass Incarceration in the Age of Colorblindness","September","Summer","2021-04-01 2021-12-31"
"25","Alexander, Michelle","The New Jim Crow: Mass Incarceration in the Age of Colorblindness","December","Fall","2021-07-01 2022-03-31"
"26","Alexie, Sherman","The Absolutely True Diary of a Part-Time Indian","November","Fall","2021-07-01 2022-03-31"
"27","Alexie, Sherman","The Absolutely True Diary of a Part-Time Indian","January","Winter","2021-10-01 2022-06-30"
"28","Alexie, Sherman","The Absolutely True Diary of a Part-Time Indian","Winter","Winter","2021-10-01 2022-06-30"
"29","Alexie, Sherman","The Absolutely True Diary of a Part-Time Indian","November","Fall","2021-07-01 2022-03-31"
"30","Alexie, Sherman","The Absolutely True Diary of a Part-Time Indian","October","Fall","2021-07-01 2022-03-31"
"31","Alexie, Sherman","The Absolutely True Diary of a Part-Time Indian","March","Winter","2021-10-01 2022-06-30"
"32","Alger, Cristina","Girls Like Us (2019)","November","Fall","2021-07-01 2022-03-31"
"33","Alko, Selina","The Case for Loving: The Fight for Interracial Marriage","September","Summer","2021-04-01 2021-12-31"
"34","Allende, Isabel","The House of the Spirits","November","Fall","2021-07-01 2022-03-31"
"35","Allison, Anthony","Hear These Voices: Youth at the Edge of the Millennium","November","Fall","2021-07-01 2022-03-31"
"36","Allman, John Robert","A is for Audra: Broadway's Leading Ladies from A to Z","September","Summer","2021-04-01 2021-12-31"
"37","Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?","January","Winter","2021-10-01 2022-06-30"
"38","Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?","December","Fall","2021-07-01 2022-03-31"
"39","Amnesty International","We Are All Born Free: The Universal Declaration of Human Rights in Pictures","September","Summer","2021-04-01 2021-12-31"
"40","Anaya, Rudolfo","Bless Me, Ultima","October","Fall","2021-07-01 2022-03-31"
"41","Anderson, Carol","White Rage: The Unspoken Truth of Our Racial Divide","September","Summer","2021-04-01 2021-12-31"
"42","Anderson, Laurie Halse","Shout","January","Winter","2021-10-01 2022-06-30"
"43","Anderson, Laurie Halse","Shout","Fall","Fall","2021-07-01 2022-03-31"
"44","Anderson, Laurie Halse","Shout","December","Fall","2021-07-01 2022-03-31"
"45","Anderson, Laurie Halse","Speak","November","Fall","2021-07-01 2022-03-31"
"46","Anderson, Laurie Halse","Speak","November","Fall","2021-07-01 2022-03-31"
"47","Anderson, Laurie Halse","Speak","October","Fall","2021-07-01 2022-03-31"
"48","Anderson, M. T.","Feed","November","Fall","2021-07-01 2022-03-31"
"49","Andrews, Arin","Some Assembly Required: The Not-So-Secret Life of a Transgender Teen","December","Fall","2021-07-01 2022-03-31"
"50","Andrews, Jesse","Me and Earl and the Dying Girl","November","Fall","2021-07-01 2022-03-31"
"51","Andrews, Jesse","Me and Earl and the Dying Girl","January","Winter","2021-10-01 2022-06-30"
"52","Andrews, Jesse","Me and Earl and the Dying Girl","October","Fall","2021-07-01 2022-03-31"
"53","Andrews, Jesse","Me and Earl and the Dying Girl","November","Fall","2021-07-01 2022-03-31"
"54","Andrews, Jesse","Me and Earl and the Dying Girl","March","Winter","2021-10-01 2022-06-30"
"55","Andrews, Jesse","Me and Earl and the Dying Girl","January","Winter","2021-10-01 2022-06-30"
"56","Andrews, Jesse","Me and Earl and the Dying Girl","November","Fall","2021-07-01 2022-03-31"
"57","Andrews, Jesse","Me and Earl and the Dying Girl","December","Fall","2021-07-01 2022-03-31"
"58","Andrews, Jesse","Me and Earl and the Dying Girl","December","Fall","2021-07-01 2022-03-31"
"59","Andrews, Jesse","The Haters","March","Winter","2021-10-01 2022-06-30"
"60","Andrews, Jesse","The Haters","November","Fall","2021-07-01 2022-03-31"
"61","Andrews, Troy","The 5 O'Clock Band","September","Summer","2021-04-01 2021-12-31"
"62","Andrews, Troy","Trombone Shorty","September","Summer","2021-04-01 2021-12-31"
"63","Angelou, Maya","I Know Why The Caged Bird Sings","October","Fall","2021-07-01 2022-03-31"
"64","Angelou, Maya","I Know Why The Caged Bird Sings","October","Fall","2021-07-01 2022-03-31"
"65","Ansari, Aziz","Modern Romance: An Investigation","Fall","Fall","2021-07-01 2022-03-31"
"66","Apelqvist, Eva","LGBTQ Families: The Ultimate Teen Guide","December","Fall","2021-07-01 2022-03-31"
"67","Applegate, Katherine","Wishtree","November","Fall","2021-07-01 2022-03-31"
"68","Armentrout, Jennifer L.","Meet Cute: Some People Are Destined to Meet","January","Winter","2021-10-01 2022-06-30"
"69","Arnold, Elana K.","A Boy Called Bat (A Boy Called Bat Series)","September","Summer","2021-04-01 2021-12-31"
"70","Arnold, Elana K.","Bat and the End of Everything (A Boy Called Bat Series)","September","Summer","2021-04-01 2021-12-31"
"71","Arnold, Elana K.","Bat and the Waiting Game (A Boy Called Bat Series)","September","Summer","2021-04-01 2021-12-31"
"72","Arnold, Elana K.","Damsel","March","Winter","2021-10-01 2022-06-30"
"73","Arnold, Elana K.","Infandous","March","Winter","2021-10-01 2022-06-30"
"74","Arnold, Elana K.","Infandous","October","Fall","2021-07-01 2022-03-31"
"75","Arnold, Elana K.","Red Hood","March","Winter","2021-10-01 2022-06-30"
"76","Arnold, Elana K.","What Girls Are Made Of","March","Winter","2021-10-01 2022-06-30"
"77","Asano, Inio","A Girl on the Shore","September","Summer","2021-04-01 2021-12-31"
"78","Asher, Jay","Thirteen Reasons Why","November","Fall","2021-07-01 2022-03-31"
"79","Asher, Jay","Thirteen Reasons Why","January","Winter","2021-10-01 2022-06-30"
"80","Asher, Jay","Thirteen Reasons Why","March","Winter","2021-10-01 2022-06-30"
"81","Atinuke","Anna Hibiscus (Anna Hibiscus Series)","September","Summer","2021-04-01 2021-12-31"
"82","Atta, Dean","The Black Flamingo","November","Fall","2021-07-01 2022-03-31"
"83","Atta, Dean","The Black Flamingo","December","Fall","2021-07-01 2022-03-31"
"84","Atwood, Margaret","The Handmaid's Tale","November","Fall","2021-07-01 2022-03-31"
"85","Atwood, Margaret","The Handmaid's Tale","January","Winter","2021-10-01 2022-06-30"
"86","Atwood, Margaret","The Handmaid's Tale","November","Fall","2021-07-01 2022-03-31"
"87","Atwood, Margaret","The Handmaid's Tale","March","Winter","2021-10-01 2022-06-30"
"88","Atwood, Margaret","The Handmaid's Tale","Fall","Fall","2021-07-01 2022-03-31"
"89","Atwood, Margaret","The Handmaid's Tale","December","Fall","2021-07-01 2022-03-31"
"90","Atwood, Margaret","The Handmaid's Tale The Graphic Novel","November","Fall","2021-07-01 2022-03-31"
"91","Atwood, Margaret","The Handmaid's Tale The Graphic Novel","Fall","Fall","2021-07-01 2022-03-31"
"92","Atwood, Margaret","The Handmaid's Tale The Graphic Novel","December","Fall","2021-07-01 2022-03-31"
"93","Atwood, Margaret","The Testaments","November","Fall","2021-07-01 2022-03-31"
