"","Author","Book","District","State","Notes","BanDate"
"1","Kobabe, Maia","Gender Queer","Adams 12 Five Star Schools","Colorado","",""
"2","Evison, JOnathan ","Lawn Boy","Adams 12 Five Star Schools","Colorado","",""
"3","Kobabe, Maia","Gender Queer: A Memoir","Anchorage School District","Alaska","",""
"4","Johnson, George M","All Boys Aren't blue","Ankeny Community School District","Iowa","https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/",""
"5","Kobabe, Maia","Gender Queer: A Memoir","Ankeny Community School District","Iowa","https://www.ankenyschools.org/news/2021/11/book-reviews-and-recommendations/",""
"6","Andrews, Jesse","Me, Earl and the Dying GIrl","Ankeny Community School District","Iowa","8-12 GR",""
"7","Alexie, Sherman","The Absolutely True Diary of a Part-Time Indian","Ankeny Community School District","Iowa","7-12 GR",""
"8","Johnson, George M","All Boy's Aren't Blue","Auburn Enlarged City School District","New York","committee send recommendation to board - unclear response. also - recommending that the board review the collections policies.",""
"9","Reynolds, Jason and Brenden Kiely","All American Boys","Baldwinsville Central School District","New York","","January 2022"
"10","Johnson, George M","All Boys Aren't blue","Baldwinsville Central School District","New York","",""
"11","Atwood, Margaret","The Handmaid's Tale","Baldwinsville Central School District","New York","","January 2022"
"12","Kobabe, Maia","GEnder Queer: A Memoir","Baltimore County Public Schools","Maryland","social media",""
"13","Evison, Jonathan","Lawn Boy","Bastrop","Texas","",""
"14","Perez, Ashley Hope","OUT OF DARKNESS","Bastrop","Texas","",""
"15","Morrison, Toni","Beloved","Bedford","Virginia","",""
"16","Wall, Jeanette","The Glass Castle","Bedford","Virginia","",""
"17","Hosseini, Khaled","The Kite Runner","Bedford","Virginia","",""
"18","Levithan, David","Two Boys Kissing","Bedford","Virginia","",""
"19","","All Boys Aren't Blue","Bedford County School District ","Virginia","February 2022",""
"20","","Beautiful Music for Ugly Children","Bedford County School District ","Virginia","February 2022",""
"21","Morrison, Toni","Beloved","Bedford County School District ","Virginia","February 2022",""
"22","","Freak Boy","Bedford County School District ","Virginia","February 2022",""
"23","","Glass Castle","Bedford County School District ","Virginia","February 2022",""
"24","","Kite Runner","Bedford County School District ","Virginia","February 2022",""
"25","","Love Drugged","Bedford County School District ","Virginia","February 2022",""
"26","","Murder Trending","Bedford County School District ","Virginia","February 2022",""
"27","Gino, Alex","RICK","Bedford County School District ","Virginia","February 2022",""
"28","Morrison, Toni","The Bluest Eye","Bedford County School District ","Virginia","February 2022",""
"29","","What My Mother Doesn't Know","Bedford County School District ","Virginia","February 2022",""
"30","Maas, Sarah J","A Court of Mist and Fury","Bentonville","Arkansas","",""
"31","MOrrison, Toni","The Bluest Eye","Bentonville","Arkansas","",""
"32","Roy, Arundhati","The God of Small Things","Bentonville","Arkansas","",""
"33","Hosseini, Khaled","The Kite Runner","Bentonville","Arkansas","",""
"34","Morrison, Toni","The Bluest Eye","Berkeley County Schools","West Virginia","",""
"35","Kobabe, Maia","Gender Queer: A Memoir","Billings Public Schools","Montana","""explicit sexual descriptions""",""
"36","Evison, Jonthan","Lawn Boy","Billings Public Schools","Montana","""explicit sexual descriptions""",""
"37","Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out","Birdville","Texas","",""
"38","Kuklin, Susan","Beyond magenta :
 transgender teens speak
 out","Birdville","Texas","",""
"39","Bechdel, Alison","FUN HOME: A Family Tragicomic","Birdville","Texas","",""
"40","Kobabe, Maia","Gender Queer: A Memoir","Birdville","Texas","Richland High School",""
"41","Haris, Robie","It's perfectly normal : a book about changing bodies, growing up, sex, and sexual health","Birdville","Texas","",""
"42","Rosen, LC","Jack of Hearts and Other Parts","Birdville","Texas","",""
"43","","Kite Runner","Birdville","Texas","complaint incorrectly identified author - Mariko Tamaki",""
"44","Myracle, Lauren","L8r, G8r","Birdville","Texas","",""
"45","Jackson, Tiffany D.","Monday's Not Coming","Birdville","Texas","Parent - Birdville HIgh School",""
"46","Steinbeck, JOhn","Of Mice and Men","Birdville","Texas","",""
"47","Perez, Ashley Hope","Out of Darkness","Birdville","Texas","",""
"48","Fleischman, Paul","Seedfolks","Birdville","Texas","",""
"49","Morrison, Toni","The Bluest Eye","Birdville","Texas","",""
"50","Tamaki, Mariko and Jillian Tamaki","This One Summer","Birdville","Texas","",""
"51","Hutchinson, Shaun David","We Are the Ants","Birdville","Texas","",""
"52","Asher, Jay","13 Reasons Why","Bixby Public Schools","Oklahoma","After community challenge Bixby Public Schools willkeep pair of books in library",""
"53","Andrews, Jesse","Me and Earl and the Dying Girl","Bixby Public Schools","Oklahoma","After community challenge Bixby Public Schools willkeep pair of books in library",""
"54","Yep, Laurence","Dragonwings","Blount County Schools","Tennessee","",""
"55","Andrews, Jesse","Me, Earl and the Dying GIrl","Blount County Schools","Tennessee","",""
"56","Bechdel, Alison","FUN Home; A Tragic Comic","Blue Valley USD 229","Kansas","",""
"57","Kobabe, Maia","GEnder Queer: A Memoir","Blue Valley USD 229","Kansas","",""
"58","Kobabe, Maia","Gender Queer: A Memoir","Bremerton","Washington","",""
"59","Andrews, Jesse","The Haters","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"60","Arnold, Elana K.","Damsel","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"61","Arnold, Elana K.","Infandous","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"62","Arnold, Elana K.","Red Hood","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"63","Arnold, Elana K.","What Girls Are Made Of","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"64","Blume, Judy","Forever","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"65","Chbosky, Stephen","The Perks of Being a Wallflower","Brevard County Public Schools","Florida","LIst 4",""
"66","Dawson, Juno","This Book is Gay","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"67","Hopkins, Ellen","Crank","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"68","Hopkins, Ellen","Tilt","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"69","Hopkins, Ellen","Triangles","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"70","Hopkins, Ellen","Tricks","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"71","Hopkins, Ellen","People Kill People","Brevard County Public Schools","Florida","LIst 4",""
"72","Hosseini, Khaled","The Kite Runner","Brevard County Public Schools","Florida","LIst 4",""
"73","Jackson, Tiffany D.","Monday's Not Coming ","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"74","Johnson, George M","All Boys Aren't Blue","Brevard County Public Schools","Florida","LIst 4",""
"75","Kaur, Rupi","Milk and Honey","Brevard County Public Schools","Florida","LIst 4",""
"76","Kepnes, Caroline","YOU: A Novel","Brevard County Public Schools","Florida","List 3",""
"77","Kobabe, Maia","Gender Queer: A Memoir","Brevard County Public Schools","Florida","Superintendent initiatied",""
"78","Lo, Malinda","Last Night at the Telegraph Club","Brevard County Public Schools","Florida","List 3",""
"79","Maas, Sarah J.","A Court of Mist and Fury","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"80","Maas, Sarah J.","A Court of Silver Flames","Brevard County Public Schools","Florida","List 3",""
"81","Maas, Sarah J.","A Court of Thorns and Roses","Brevard County Public Schools","Florida","List 4",""
"82","Maas, Sarah J.","A Court of Frost and Starlight","Brevard County Public Schools","Florida","List 4",""
"83","Maas, Sarah J.","A Court of Wings and Ruin","Brevard County Public Schools","Florida","List 4",""
"84","Maas, Sarah J.","Empire of Storms","Brevard County Public Schools","Florida","List 4",""
"85","Maas, Sarah J.","House of Earth and Blood","Brevard County Public Schools","Florida","List 4",""
"86","Maas, Sarah J.","House of Sky and Breath","Brevard County Public Schools","Florida","List 4",""
"87","McCormick, Patricia","Sold","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"88","Myracle, Lauren","The Infinite Moment of Us","Brevard County Public Schools","Florida","List 3",""
"89","Niven, Jennifer","Breathless","Brevard County Public Schools","Florida","List 3",""
"90","Perez, Ashley Hope","Out of Darkness","Brevard County Public Schools","Florida","List 4",""
"91","Reed, Amy","The Nowhere Girls","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"92","Reed, Amy","Beautiful","Brevard County Public Schools","Florida","List 4",""
"93","Rooney, Sally","Normal People","Brevard County Public Schools","Florida","List 4",""
"94","Sapphire","Push","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"95","Scheeres, Julia","Jesus Land: A Memoir","Brevard County Public Schools","Florida","List 4",""
"96","Scott, Elizabeth","Living Dead Girl","Brevard County Public Schools","Florida","List 4",""
"97","Seabold, Alice","Lucky ","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"98","Smyth, Ciara","Not My Problem","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"99","Tamaki, Mariko","This One Summer","Brevard County Public Schools","Florida","Brevard Cty M4L Site Stating They Are On Quarentine",""
"100","Vonnegut, Kurt","Slaughterhouse Five","Brevard County Public Schools","Florida","List 4",""
"101","Maas, Sarah","A Court of Frost and Starlight","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"102","Reynolds, Jason and Brendan Kiely","All American Boys","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"103","Glines, Abbi","Bad for You","Bristow Public Schools","Oklahoma","",""
"104","Oliver, Lauren","Before I Fall","Bristow Public Schools","Oklahoma","",""
"105","Septys, Ruta","Between Shades of Gray","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"106","Anaya, Rudolfo","Bless Me Ultima","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"107","Huxley, Aldous","Brave New World","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"108","Patterson, Katherine","Bridge to Terabithia","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"109","Oliver, Lauren","Broken Things","Bristow Public Schools","Oklahoma","",""
"110","Hopkins, Ellen","Burned","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"111","Hopkins, Ellen","Crank","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"112","White, Kiersten","Dark Descent of Elizabeth Frankenstein","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"113","Meyer, Stephenie","Eclipse","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"114","Meyer, Marissa","Fairest: LEvana's Story","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"115","Lockington, Mariama J","For Black Girls Like Me","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"116","Levithan, David","Hold Me Closer","Bristow Public Schools","Oklahoma","",""
"117","Roux, Madeleine","House of Furies","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
"118","Angelu, Maya","I Know Why The Caged Bird Sings","Bristow Public Schools","Oklahoma","Taken out of circulation until they can be reviewed - MS and HS personal libraries closed down until each teacher's book list is reviewed, approved by librarian and uploaded online",""
